,signalType,bestEstimate,expectedLimit,lowLimit1Sigma,lowLimit2Sigma,upperLimit1Sigma,upperLimit2Sigma,myparamMZD,myparamEPSILON,round,job
0,signal,0.3229529374008433,0.4787188030663796,0.3358547122308271,0.2530745971422272,0.692606622970975,0.9830905176450412,15.0,0.0001,7points,sqlp_ZZ32_004
0,signal,0.3128544013901956,0.4122808269192667,0.2911378776610246,0.2041245715698654,0.6086748750812692,0.8830376809071814,15.476107520860085,0.0039319120263095406,2D-1round,sqlp_ZZ33_034
0,signal,0.3251343617424407,0.4255809554675888,0.2953800358419621,0.2130368164987801,0.6261781774104552,0.9003988881212577,15.59062799889708,0.0009383240628086431,2D-1round,sqlp_ZZ33_016
0,signal,0.3749146515071305,0.471096322418662,0.3256607066342224,0.2455233788671601,0.686088724766782,0.9793665751806532,17.5,0.0589,2D-2round,sqlp_ZZ34_076
0,signal,0.623992521467162,0.5004654204289788,0.3586712035142226,0.2682116911243511,0.7272975686808594,1.0249279072295796,18.0,0.0001,2D-2round,sqlp_ZZ34_064
0,signal,0.8055648068344605,0.4598658362338411,0.31385941941183,0.2381200207604972,0.6706185952939681,0.955186972827177,18.6,0.00073,2D-2round,sqlp_ZZ34_004
0,signal,0.8572337213661746,0.4863842082938929,0.3414893205600395,0.2556831069366078,0.706811557853738,1.0104271031426353,18.6,0.1,2D-2round,sqlp_ZZ34_010
0,signal,0.8274626697792626,0.4630052196946767,0.317463642888326,0.2404990313776747,0.6744237334163367,0.9601967246813172,18.686893893167493,0.0007452991091633345,2D-1round,sqlp_ZZ33_010
0,signal,0.8631342253232431,0.5057686491433842,0.3640357615256797,0.2718168628960895,0.7392248112422738,1.0404378805929038,19.1,0.1,2D-2round,sqlp_ZZ34_088
0,signal,0.7262281361029373,0.5080932111586749,0.3664105046293234,0.2734224160796005,0.7440561183109018,1.0459571035693926,20.0,0.0001,7points,sqlp_ZZ32_010
0,signal,0.2873026969429457,0.5448677431854906,0.3840824848507816,0.2849902566260183,0.7863998308833211,1.1037524019325549,22.26483201791584,0.000945982083875787,2D-1round,sqlp_ZZ33_046
0,signal,0.2633125761696878,0.5611165004052115,0.393151575012704,0.2914374498124122,0.8025495399480521,1.1237392375751951,23.157247119940994,0.07788574150006565,2D-1round,sqlp_ZZ33_052
0,signal,0.3699461327978095,0.5505340572884057,0.3880870484039793,0.2881943150407877,0.7893395388780832,1.102421657821322,25.0,0.0001,7points,sqlp_ZZ32_016
0,signal,0.4334378160833051,0.5280042832307387,0.3764997986156643,0.2802513517678903,0.7650266706899845,1.0710440123904688,28.4,0.1,2D-2round,sqlp_ZZ34_058
0,signal,0.5161819870711516,0.52404337025761,0.3758665400505894,0.2804135606316455,0.7568974414230057,1.0545021448708582,29.0,0.00035,2D-2round,sqlp_ZZ34_034
0,signal,0.537188957499931,0.4946061989961659,0.3557378765622536,0.2675037780553264,0.7070728680148821,0.9921342834495672,30.1,0.04,2D-2round,sqlp_ZZ34_028
0,signal,0.3379939019646422,0.4673398081263377,0.3267694691851742,0.2484444577624247,0.6715596058273059,0.9384035471503298,31.5,0.0001,2D-2round,sqlp_ZZ34_040
0,signal,0.3423042084090462,0.4775446586211369,0.3381282937989038,0.256023406996524,0.6844719535586311,0.9578620329169406,32.0,0.1,2D-2round,sqlp_ZZ34_094
0,signal,0.387004156138639,0.3355088877873102,0.2393164181621468,0.1835393373431603,0.4865671307437207,0.6897470773762912,35.0,0.0001,7points,sqlp_ZZ32_022
0,signal,0.3825557425983327,0.2869951531242671,0.1971559134430074,0.1635334946443374,0.4076990238541787,0.5935888031737006,37.1,0.00027,2D-3round,sqlp_ZZ35_016
0,signal,0.4658861669340041,0.2843252810098163,0.1956391913467039,0.1607154963983269,0.4046020401367049,0.5904570918927967,37.7,0.0013,2D-3round,sqlp_ZZ35_010
0,signal,0.5152806773950576,0.2780726798224308,0.1928025581759161,0.1559941902454213,0.3966618257291857,0.5757106444304915,38.5,0.0104,2D-3round,sqlp_ZZ35_028
0,signal,0.3927682763949867,0.2600534191963914,0.1852294352123391,0.1415871459974408,0.3745153318324739,0.530222446549056,40.0,0.0001,7points,sqlp_ZZ32_028
0,signal,0.1940352115963515,0.2251484623958319,0.1724439441198214,0.1106007666820877,0.3332356085018524,0.4822831695463756,44.66019572067399,0.0001061381955643668,2D-1round,sqlp_ZZ33_004
0,signal,0.2073130572649826,0.2141491229866124,0.1688085821703316,0.1016299939241019,0.3205781707690131,0.4729424280148482,47.1,0.00757,2D-3round,sqlp_ZZ35_034
0,signal,0.2660376581989886,0.2067716829891787,0.1665517784802247,0.1013268681269262,0.311430546534628,0.4656778459309118,47.8,0.0051,2D-3round,sqlp_ZZ35_022
0,signal,0.3008580741869049,0.2010402144670085,0.1616277363736271,0.1007487354965121,0.3015201348092216,0.4508598359643364,50.0,0.0001,7points,sqlp_ZZ32_034
0,signal,0.1974992182187855,0.1940517856819563,0.1470446657380905,0.0995411893672593,0.2892748935545586,0.4134426325369015,53.8,0.0001,2D-2round,sqlp_ZZ34_022
0,signal,0.1767655400089049,0.1884417197642093,0.1335652784468654,0.0988634396575546,0.2777141519896918,0.3949174213727598,55.0,0.1,2D-2round,sqlp_ZZ34_016
